Date,How many years have you worked for Acme Corporation?,In which business unit do you currently work?,In which office are you currently working?,How satisfied are you with working at Acme Corporation?,My performance is measured against clearly defined outcomes and metrics.,I have access to everything that I need to perform at my job.,My strengths are recognized and I put them into practice every day.,I receive meaningful recognition for doing a good job.,I am happy with the relationship with my manager.,My manager supports me to get better at my valued skills.,My opinions matter and are taken into consideration.,My job counts towards achieving the goals of the organization.,My colleagues are accountable for doing quality work.,I consider at least one of my colleagues to be a true friend.,I have received support for personal growth and development in the last six months.,There are ongoing opportunities for learning and growth in my role.
2020-06-17 09:45:22,12,Finance and Administration,DK,8,4,5,4,5,2,2,3,2,3,1,2,5
2020-06-22 06:50:39,11,Human Resources,DK,8,2,5,3,5,3,4,2,4,1,3,5,4
2020-06-29 11:34:37,0,Finance and Administration,DK,9,4,3,3,5,2,4,2,2,3,3,3,2
2020-06-09 08:57:21,6,Sales and Marketing,DK,8,1,2,5,1,2,2,4,4,2,4,2,2
2020-06-15 02:32:51,0,Production,DK,4,2,3,4,4,5,2,5,1,3,3,4,1
2020-06-10 19:45:53,13,Research and Development,DK,4,4,4,2,2,3,4,3,3,5,4,1,5
2020-06-19 18:36:48,14,Finance and Administration,DK,8,4,5,4,5,2,3,4,1,1,1,4,2
2020-06-07 19:45:04,5,Finance and Administration,DK,10,2,2,5,4,3,4,1,2,2,3,1,5
2020-06-14 21:12:22,11,Human Resources,DK,5,3,2,4,3,3,4,2,1,3,1,2,5
2020-06-16 10:09:25,11,Customer Service,DK,5,5,5,5,5,2,4,5,3,1,1,5,4
2020-06-11 17:56:47,1,Research and Development,DK,9,5,5,1,3,2,3,2,5,4,2,2,4
2020-06-03 04:53:37,6,Production,DK,6,5,1,5,3,5,5,3,4,4,4,5,4
2020-06-29 00:38:39,12,Production,DK,6,2,4,3,2,3,2,2,4,2,3,3,3
2020-06-04 11:40:13,9,Sales and Marketing,DK,6,3,4,1,2,5,1,1,3,2,4,5,2
2020-06-25 01:48:32,2,Production,DK,4,1,3,5,1,1,1,3,4,5,4,2,4
2020-06-24 17:51:38,4,Finance and Administration,DK,4,3,4,3,4,1,1,4,2,1,3,1,3
2020-06-16 23:59:34,8,Customer Service,DK,10,1,5,2,4,5,2,5,4,4,3,1,1
2020-06-13 14:55:27,14,Research and Development,DK,5,4,4,4,4,1,3,4,3,5,3,2,5
2020-06-29 01:37:06,2,Finance and Administration,DK,8,3,4,3,4,3,2,5,2,2,4,1,5
2020-06-06 17:18:43,6,Customer Service,DK,10,4,2,5,2,5,2,1,1,3,2,1,1
2020-06-13 01:01:24,6,Finance and Administration,DK,7,4,3,3,2,4,3,1,4,2,5,1,2
2020-06-18 02:36:55,13,Finance and Administration,DK,7,5,2,3,5,4,5,3,4,1,5,5,5
2020-06-08 17:01:21,10,Production,DK,8,4,5,2,4,2,4,2,4,1,4,3,4
2020-06-04 05:11:14,15,Sales and Marketing,DK,9,2,1,3,5,5,2,3,2,4,2,2,4
2020-06-08 04:05:39,8,Production,DK,4,1,5,4,5,2,5,4,2,3,5,1,1
2020-06-21 06:31:34,2,Customer Service,DK,8,1,1,3,4,4,2,5,3,3,4,1,3
2020-06-22 18:23:08,1,Sales and Marketing,DK,9,5,3,5,5,2,3,4,5,1,3,4,5
2020-06-16 06:34:44,12,Production,DK,5,2,3,4,1,5,1,3,5,2,2,4,3
2020-06-02 12:18:07,6,Sales and Marketing,DK,4,4,4,2,2,1,2,4,2,3,2,3,4
2020-06-25 19:25:10,1,Sales and Marketing,DK,4,3,3,3,2,1,5,2,3,5,4,5,1
2020-06-15 04:39:54,8,Sales and Marketing,DK,8,5,5,3,3,5,4,4,1,4,2,2,1
2020-06-28 10:37:37,14,Finance and Administration,DK,6,1,4,1,2,1,5,3,3,5,4,5,1
2020-06-24 00:14:24,15,Finance and Administration,DK,9,5,1,2,1,4,4,1,1,3,2,5,2
2020-06-19 18:50:46,11,Finance and Administration,DK,5,4,3,2,1,2,3,4,1,1,5,3,3
2020-06-22 22:51:33,0,Customer Service,DK,7,2,4,5,1,4,4,1,4,4,2,2,4
2020-06-21 02:14:02,14,Research and Development,DK,5,2,3,1,5,4,5,3,5,2,3,3,5
2020-06-28 20:33:14,9,Sales and Marketing,DK,5,2,5,5,4,1,2,3,3,3,4,1,5
2020-06-17 15:49:09,10,Human Resources,DK,10,1,1,3,1,2,3,3,5,2,4,4,4
2020-06-06 16:56:50,5,Production,DK,5,4,4,3,5,5,4,2,1,2,3,2,3
2020-06-07 15:01:36,7,Production,DK,9,1,4,2,3,4,1,3,1,4,5,1,2
2020-06-09 17:44:34,0,Research and Development,DK,10,2,1,2,2,2,1,5,5,1,2,5,1
2020-06-09 19:52:17,4,Finance and Administration,DK,6,5,2,4,1,1,2,2,5,2,4,5,1
2020-06-17 14:01:00,2,Human Resources,DK,9,5,5,2,5,4,5,5,2,1,5,5,3
2020-06-08 01:54:18,7,Customer Service,DK,8,3,4,3,4,1,2,4,2,4,1,1,4
2020-06-28 19:36:36,8,Human Resources,DK,10,3,1,2,1,1,5,5,3,4,2,3,5
2020-06-27 14:41:39,10,Customer Service,DK,10,5,1,4,3,2,2,5,3,5,1,5,3
2020-06-02 06:14:26,13,Customer Service,DK,9,3,2,1,5,5,5,2,1,5,5,1,2
2020-06-23 18:33:20,14,Production,DK,9,2,3,5,5,4,3,4,4,5,4,2,1
2020-06-04 05:30:23,14,Finance and Administration,DK,5,4,4,3,5,3,3,3,3,3,3,1,2
2020-06-21 11:19:00,8,Human Resources,DK,7,5,5,5,3,1,5,3,3,1,4,4,5
2020-06-28 19:59:16,1,Finance and Administration,DK,7,1,3,4,3,3,3,2,4,3,1,2,4
2020-06-22 03:08:00,5,Production,DK,4,4,3,5,4,3,4,1,1,2,2,2,1
2020-06-16 22:05:19,3,Finance and Administration,DK,8,2,1,3,2,5,4,2,1,5,4,5,3
2020-06-11 15:02:23,8,Research and Development,DK,8,5,5,4,5,2,1,5,1,1,4,5,4
2020-06-07 03:47:36,1,Research and Development,DK,8,5,2,1,4,2,1,3,3,2,2,2,3
2020-06-21 22:15:49,12,Sales and Marketing,DK,4,1,5,4,3,5,2,1,2,2,1,5,1
2020-06-12 16:47:50,4,Customer Service,DK,7,4,3,3,4,3,2,5,3,2,2,1,1
2020-06-19 14:47:08,10,Human Resources,DK,10,5,1,1,2,5,5,5,5,5,2,1,3
2020-06-08 17:24:49,0,Customer Service,DK,10,5,5,5,5,2,2,4,3,3,3,5,3
2020-06-26 07:51:31,6,Customer Service,DK,9,1,3,1,2,4,5,3,1,4,3,4,3
2020-06-01 06:11:05,10,Customer Service,DK,10,4,3,3,1,5,3,3,1,3,4,5,1
2020-06-10 00:12:58,12,Human Resources,DK,8,1,4,3,4,1,5,4,1,5,1,4,5
2020-06-11 05:02:25,4,Production,DK,4,5,3,2,4,5,1,5,4,4,3,3,5
2020-06-02 02:40:27,13,Finance and Administration,DK,8,1,1,1,4,5,2,1,1,1,2,1,4
2020-06-01 00:48:32,15,Finance and Administration,DK,4,2,3,5,3,2,3,1,4,1,2,2,2
2020-06-29 19:57:25,1,Production,DK,8,2,2,5,5,2,1,1,5,4,4,5,3
2020-06-24 14:21:18,9,Human Resources,DK,8,4,3,3,3,1,1,5,2,1,3,1,4
2020-06-12 21:16:20,3,Customer Service,DK,5,1,4,5,5,3,2,5,4,4,5,5,3
2020-06-29 05:18:37,11,Finance and Administration,DK,10,1,4,2,1,3,4,3,4,2,1,5,1
2020-06-10 05:15:40,5,Human Resources,DK,8,5,2,5,5,5,2,2,1,2,4,4,4
2020-06-16 12:56:33,8,Production,DK,10,2,2,5,5,3,1,4,2,1,1,3,1
2020-06-02 11:44:00,4,Production,DK,6,2,5,1,5,4,2,4,5,4,5,5,5
2020-06-14 10:05:31,0,Finance and Administration,DK,6,4,2,1,4,1,3,4,1,2,3,5,4
2020-06-23 10:53:31,12,Production,DK,6,3,3,2,3,3,2,5,2,5,1,5,2
2020-06-04 12:08:29,3,Production,DK,9,5,5,4,2,2,2,5,4,2,4,1,4
2020-06-25 14:00:50,9,Sales and Marketing,DK,4,5,5,4,5,4,1,4,5,5,1,3,3
2020-06-02 22:14:26,15,Customer Service,DK,7,5,2,3,3,4,3,1,3,1,5,2,4
2020-06-16 06:07:39,5,Production,DK,7,1,1,4,5,3,4,3,4,4,4,5,5
2020-06-13 04:20:14,15,Human Resources,DK,9,5,5,1,3,3,1,5,2,1,3,5,4
2020-06-25 02:41:38,12,Research and Development,DK,7,5,1,2,3,1,5,3,2,5,4,2,2
2020-06-24 11:05:35,7,Production,DK,8,3,3,4,1,4,5,2,5,1,1,2,1
2020-06-04 06:48:57,14,Production,DK,7,3,5,1,2,3,3,4,4,2,2,5,4
2020-06-01 15:06:27,5,Research and Development,DK,6,2,4,2,5,1,5,3,5,5,2,3,5
2020-06-05 02:05:04,0,Customer Service,DK,8,1,2,5,1,4,4,2,1,5,4,5,4
2020-06-21 05:37:08,2,Finance and Administration,DK,9,3,3,5,1,5,4,2,5,5,5,1,2
2020-06-04 10:36:25,13,Sales and Marketing,DK,4,2,5,5,4,1,1,4,1,2,4,1,5
2020-06-19 02:25:40,1,Finance and Administration,DK,10,1,2,3,1,3,2,3,2,3,5,2,4
2020-06-18 21:48:00,4,Research and Development,DK,4,5,2,1,3,1,3,2,2,1,2,4,3
2020-06-22 20:50:16,8,Sales and Marketing,DK,7,5,4,2,5,1,4,2,4,2,5,3,3
2020-06-05 20:06:24,11,Sales and Marketing,DK,5,5,3,5,3,4,1,5,1,4,2,5,4
2020-06-14 13:09:27,14,Research and Development,DK,8,2,3,5,5,2,5,2,4,5,5,4,5
2020-06-05 01:23:46,10,Customer Service,DK,7,4,5,1,3,3,4,3,3,1,4,3,5
2020-06-13 19:23:12,3,Customer Service,DK,4,2,5,4,3,5,4,3,5,4,3,4,3
2020-06-21 15:52:55,9,Sales and Marketing,DK,5,4,3,4,3,4,3,5,2,5,5,4,5
2020-06-09 22:58:00,4,Sales and Marketing,DK,7,3,5,2,4,4,3,2,1,5,2,4,4
2020-06-25 10:37:30,1,Research and Development,DK,5,2,3,3,3,3,4,3,5,4,3,4,2
2020-06-22 07:31:32,15,Human Resources,DK,4,4,2,2,3,3,1,4,3,2,4,3,1
2020-06-07 16:50:20,7,Research and Development,DK,7,1,5,4,4,4,5,5,5,1,1,1,4
2020-06-22 19:20:10,15,Research and Development,DK,6,4,3,2,5,5,2,2,4,3,4,1,2
2020-06-19 10:38:25,11,Finance and Administration,DK,4,5,3,1,1,1,5,3,4,5,3,1,5
2020-06-10 21:43:27,13,Production,DK,9,4,5,1,3,4,5,4,3,5,1,2,4
2020-06-13 00:01:48,10,Finance and Administration,DK,5,4,2,5,4,2,4,5,2,3,5,1,5
2020-06-25 21:37:28,4,Production,DK,8,5,5,5,4,1,5,1,5,2,2,1,5
2020-06-14 06:13:02,12,Finance and Administration,DK,5,5,4,5,5,1,3,3,5,5,5,4,5
2020-06-26 12:49:56,12,Customer Service,DK,10,3,4,3,4,4,1,2,5,1,3,1,5
2020-06-14 15:15:38,8,Finance and Administration,DK,7,2,4,5,1,4,3,5,2,2,4,4,5
2020-06-27 23:12:05,11,Human Resources,DK,5,4,5,4,4,2,3,2,5,1,2,2,5
2020-06-22 14:52:22,2,Finance and Administration,DK,6,3,2,5,2,5,3,5,1,5,4,4,1
2020-06-12 11:01:36,3,Research and Development,DK,7,1,1,3,1,1,3,1,5,3,2,2,4
2020-06-21 15:43:19,14,Finance and Administration,DK,4,3,2,3,5,1,4,1,5,5,1,5,2
2020-06-27 18:34:47,7,Sales and Marketing,DK,7,1,4,5,3,4,4,1,4,2,3,1,1
2020-06-05 00:55:02,8,Human Resources,DK,4,1,4,4,5,2,2,4,5,2,3,4,2
2020-06-02 10:21:20,6,Human Resources,DK,10,2,1,2,1,3,2,3,3,4,5,4,4
2020-06-13 09:53:26,2,Human Resources,DK,9,1,3,2,4,2,2,5,1,1,3,3,4
2020-06-16 06:14:15,2,Human Resources,DK,10,5,5,4,4,1,3,1,4,3,2,1,4
2020-06-10 17:47:20,15,Customer Service,DK,10,5,2,1,1,4,2,4,5,5,1,1,5
2020-06-09 18:02:03,2,Finance and Administration,DK,6,2,2,2,3,5,3,1,3,4,2,4,4
2020-06-20 02:03:40,3,Production,DK,7,2,3,2,3,5,4,4,1,2,5,2,2
2020-06-24 02:56:59,11,Production,DK,7,3,2,4,5,3,3,3,5,1,5,2,2
2020-06-17 19:11:29,13,Human Resources,DK,5,1,2,5,2,3,4,2,3,1,3,2,5
2020-06-07 01:19:06,12,Production,DK,8,2,2,2,4,1,4,2,5,1,5,2,5
2020-06-12 07:07:46,12,Customer Service,DK,9,4,5,1,2,5,3,5,5,3,1,1,5
2020-06-25 00:00:15,9,Customer Service,DK,7,2,2,4,3,1,4,4,4,4,1,3,1
2020-06-24 10:55:16,15,Research and Development,DK,7,1,2,2,5,2,4,1,4,2,3,5,5
2020-06-14 00:22:37,14,Sales and Marketing,DK,4,4,5,1,4,3,2,2,1,3,4,4,2
2020-06-04 18:33:57,9,Human Resources,DK,10,3,3,3,2,4,3,2,3,5,5,1,3
2020-06-03 19:25:56,8,Production,DK,10,4,3,2,3,3,2,2,3,3,5,4,2
2020-06-13 21:35:13,7,Human Resources,DK,5,2,2,3,1,1,3,3,5,2,4,3,5
2020-06-18 11:18:21,1,Sales and Marketing,DK,4,5,3,1,4,5,5,2,3,2,5,1,5
2020-06-26 23:14:15,12,Research and Development,DK,7,2,4,4,3,4,1,1,2,2,1,3,5
2020-06-26 01:10:59,1,Finance and Administration,DK,10,5,1,4,4,2,4,3,4,5,2,4,4
2020-06-26 20:56:22,12,Sales and Marketing,DK,9,4,5,3,2,4,1,3,4,2,5,5,5
2020-06-27 01:35:59,7,Customer Service,DK,5,5,4,4,4,1,3,5,1,4,2,3,1
2020-06-11 19:42:24,6,Finance and Administration,DK,9,5,2,4,1,3,5,1,4,5,1,1,4
2020-06-03 04:42:03,14,Research and Development,DK,4,2,2,2,2,1,3,2,5,4,3,4,2
2020-06-11 16:01:06,2,Research and Development,DK,7,1,5,5,5,2,5,1,3,1,4,4,5
2020-06-26 11:52:39,2,Production,DK,9,5,1,2,3,3,4,5,5,4,4,2,4
2020-06-21 18:37:09,15,Finance and Administration,DK,7,2,5,3,2,5,2,4,4,5,4,1,2
2020-06-25 00:23:57,5,Sales and Marketing,DK,8,3,2,5,2,3,3,5,2,4,1,1,5
2020-06-15 16:46:24,9,Sales and Marketing,DK,5,2,1,5,1,1,5,3,5,2,1,4,1
2020-06-03 15:45:34,5,Research and Development,DK,7,5,4,4,2,1,3,5,1,1,1,3,2
2020-06-01 17:39:20,12,Finance and Administration,DK,7,4,2,5,4,2,4,5,3,5,3,5,5
2020-06-01 22:46:34,12,Production,DK,6,2,3,5,1,5,5,4,3,2,4,2,5
