Date,How many years have you worked for Acme Corporation?,In which business unit do you currently work?,In which office are you currently working?,How satisfied are you with working at Acme Corporation?,My performance is measured against clearly defined outcomes and metrics.,I have access to everything that I need to perform at my job.,My strengths are recognized and I put them into practice every day.,I receive meaningful recognition for doing a good job.,I am happy with the relationship with my manager.,My manager supports me to get better at my valued skills.,My opinions matter and are taken into consideration.,My job counts towards achieving the goals of the organization.,My colleagues are accountable for doing quality work.,I consider at least one of my colleagues to be a true friend.,I have received support for personal growth and development in the last six months.,There are ongoing opportunities for learning and growth in my role.
2020-06-27 20:02:34,8,Research and Development,FR,8,4,5,2,5,4,1,2,4,2,5,3,4
2020-06-19 04:25:22,15,Sales and Marketing,FR,6,1,5,1,1,4,1,4,4,1,5,1,1
2020-06-29 10:06:11,15,Customer Service,FR,6,3,1,1,4,1,3,1,4,1,2,4,4
2020-06-07 06:08:09,4,Sales and Marketing,FR,7,2,2,1,1,4,2,2,1,2,4,2,2
2020-06-17 08:37:02,12,Human Resources,FR,7,2,3,5,2,5,4,4,2,1,5,5,1
2020-06-29 01:39:41,10,Production,FR,10,4,2,2,1,3,2,1,2,1,4,1,1
2020-06-24 18:32:00,14,Production,FR,4,1,3,2,5,2,4,5,5,1,2,3,1
2020-06-02 10:19:57,7,Production,FR,10,3,3,2,2,2,3,4,2,2,1,5,1
2020-06-18 05:17:29,1,Finance and Administration,FR,8,1,1,4,5,2,4,2,3,4,5,4,2
2020-06-23 11:48:07,10,Finance and Administration,FR,7,2,2,1,4,4,4,4,5,2,4,2,4
2020-06-23 15:25:08,3,Production,FR,5,3,5,5,2,5,5,2,3,4,3,2,1
2020-06-10 22:51:56,14,Research and Development,FR,7,1,3,1,4,4,5,1,1,2,3,4,4
2020-06-29 04:32:50,5,Customer Service,FR,5,3,2,1,4,1,1,2,1,2,3,5,4
2020-06-28 06:04:55,9,Production,FR,5,3,2,2,4,5,4,5,4,1,2,1,1
2020-06-14 16:32:33,0,Sales and Marketing,FR,10,4,2,1,2,2,5,5,1,3,1,3,4
2020-06-15 11:35:56,4,Customer Service,FR,5,1,5,2,2,1,1,2,5,2,2,1,5
2020-06-24 05:32:50,3,Sales and Marketing,FR,9,3,3,3,5,5,3,2,2,3,1,2,5
2020-06-18 20:56:10,3,Research and Development,FR,8,4,1,3,3,1,2,5,4,1,1,5,3
2020-06-14 20:42:08,7,Research and Development,FR,7,4,1,1,5,2,5,1,3,4,1,4,3
2020-06-14 19:15:45,4,Research and Development,FR,5,3,3,1,1,4,4,5,5,2,2,4,1
2020-06-01 13:54:47,7,Human Resources,FR,10,5,5,5,2,5,1,2,5,5,3,2,3
2020-06-08 11:01:30,15,Customer Service,FR,5,3,1,1,3,3,3,1,1,1,3,5,1
2020-06-18 02:47:56,13,Customer Service,FR,8,5,5,3,2,4,3,5,5,3,4,1,5
2020-06-26 09:09:25,2,Human Resources,FR,4,2,3,4,5,1,3,2,5,5,5,2,4
2020-06-15 05:30:25,6,Production,FR,5,4,4,4,2,4,4,5,5,5,1,3,1
2020-06-07 21:45:11,1,Production,FR,5,4,3,3,2,4,5,3,2,3,5,3,5
2020-06-21 21:10:32,10,Production,FR,9,3,3,5,5,2,5,2,1,2,3,1,5
2020-06-05 07:24:24,3,Sales and Marketing,FR,7,3,2,3,5,5,4,3,3,2,2,1,3
2020-06-25 07:38:51,5,Human Resources,FR,5,2,3,3,5,5,2,4,1,2,4,4,4
2020-06-15 17:59:18,12,Human Resources,FR,9,4,5,1,2,3,2,2,1,5,4,3,1
2020-06-05 07:31:05,13,Production,FR,5,3,4,2,5,2,5,3,2,2,5,3,2
2020-06-11 07:54:36,14,Customer Service,FR,7,3,3,4,4,5,3,3,1,1,4,3,5
2020-06-21 11:13:42,5,Human Resources,FR,7,2,3,5,4,3,3,2,3,5,3,1,4
2020-06-08 13:54:07,4,Finance and Administration,FR,8,3,3,2,1,3,4,1,1,5,5,3,2
2020-06-25 00:26:30,11,Customer Service,FR,5,2,1,3,4,5,2,3,4,5,5,1,2
2020-06-12 11:19:42,12,Sales and Marketing,FR,9,2,1,1,4,5,5,2,2,5,1,5,1
2020-06-08 03:07:37,13,Sales and Marketing,FR,10,2,2,2,1,3,4,2,3,3,3,2,1
2020-06-23 14:34:25,8,Research and Development,FR,5,2,1,5,3,4,5,4,3,2,5,3,2
2020-06-20 15:09:29,9,Customer Service,FR,8,5,3,1,1,5,3,2,3,3,4,3,2
2020-06-17 00:51:34,7,Human Resources,FR,5,5,3,5,4,4,2,1,5,4,5,5,1
2020-06-25 18:35:02,8,Sales and Marketing,FR,5,3,3,2,4,2,4,4,4,2,1,5,1
2020-06-04 14:38:10,15,Sales and Marketing,FR,10,4,2,3,1,3,1,5,1,4,3,2,2
2020-06-28 15:21:21,2,Customer Service,FR,10,1,4,3,2,4,5,5,3,1,1,5,5
2020-06-07 11:06:49,12,Finance and Administration,FR,7,2,1,2,1,2,3,5,2,1,5,4,3
2020-06-14 23:26:11,7,Research and Development,FR,4,4,4,1,3,1,3,5,3,2,1,5,3
2020-06-20 18:24:00,11,Production,FR,5,4,5,4,1,1,5,4,1,1,3,4,3
2020-06-07 22:35:26,4,Finance and Administration,FR,10,4,4,4,4,5,2,2,4,5,3,2,3
2020-06-25 04:20:47,0,Human Resources,FR,4,3,5,5,5,1,2,5,3,3,3,2,3
2020-06-06 18:58:22,3,Sales and Marketing,FR,5,2,1,4,3,1,2,3,1,5,5,1,4
2020-06-08 07:13:08,9,Customer Service,FR,6,3,1,1,2,4,5,2,5,1,3,4,4
2020-06-16 11:29:28,1,Production,FR,9,5,1,5,1,2,3,3,1,5,4,5,5
2020-06-08 06:00:57,1,Sales and Marketing,FR,6,3,3,2,4,5,4,3,3,4,4,4,4
2020-06-01 11:06:04,7,Production,FR,5,4,1,1,3,3,5,2,4,3,1,3,2
2020-06-26 14:42:11,6,Human Resources,FR,10,2,5,4,2,1,3,3,2,4,1,5,3
2020-06-14 02:17:22,8,Sales and Marketing,FR,7,1,4,4,2,3,5,5,4,3,5,4,4
2020-06-10 13:07:41,8,Sales and Marketing,FR,4,5,4,2,4,3,5,2,2,3,4,4,4
2020-06-19 01:22:40,6,Sales and Marketing,FR,6,2,3,3,3,3,4,4,1,5,3,1,5
2020-06-28 05:36:10,13,Production,FR,9,4,3,5,2,2,1,1,1,2,4,3,1
2020-06-25 19:35:02,11,Human Resources,FR,5,3,5,3,3,1,2,3,4,5,2,3,5
2020-06-17 20:18:34,4,Research and Development,FR,7,4,1,1,2,1,3,2,2,1,3,1,4
2020-06-21 16:45:59,3,Finance and Administration,FR,10,5,4,2,5,1,1,1,1,5,4,2,5
2020-06-22 22:58:19,9,Research and Development,FR,6,3,1,2,2,4,1,2,2,2,2,3,2
2020-06-24 11:56:22,5,Production,FR,4,3,3,5,5,3,4,2,4,3,4,5,2
2020-06-18 06:08:00,14,Finance and Administration,FR,10,2,5,1,2,2,5,5,3,1,3,4,2
2020-06-18 15:13:21,2,Finance and Administration,FR,4,4,3,1,3,4,1,5,3,4,1,2,3
2020-06-22 06:34:34,4,Human Resources,FR,7,3,4,2,2,2,2,5,4,2,5,4,2
2020-06-21 20:22:32,10,Research and Development,FR,9,4,4,3,3,5,3,2,1,5,2,5,1
2020-06-13 16:18:46,8,Production,FR,9,1,2,2,4,3,5,3,2,4,3,5,5
2020-06-10 18:34:33,10,Research and Development,FR,8,4,5,2,3,3,1,1,3,5,3,3,5
2020-06-08 01:26:27,0,Research and Development,FR,9,1,2,5,1,4,5,5,1,2,2,2,2
2020-06-20 00:29:39,3,Human Resources,FR,8,4,1,4,1,3,4,3,4,5,5,1,2
2020-06-22 17:37:06,13,Research and Development,FR,7,4,2,3,2,4,4,2,1,5,4,2,1
2020-06-29 05:21:06,9,Production,FR,7,3,1,2,1,3,3,5,3,5,3,5,5
2020-06-24 06:02:04,10,Finance and Administration,FR,6,2,1,3,4,3,2,1,4,2,3,2,3
2020-06-03 16:02:13,4,Production,FR,10,5,5,5,3,2,3,1,5,3,2,5,4
2020-06-16 14:01:43,7,Sales and Marketing,FR,7,5,4,3,2,5,5,4,2,5,3,5,4
2020-06-28 19:13:19,12,Production,FR,6,3,3,3,5,4,1,5,3,3,5,5,5
2020-06-28 03:15:35,11,Production,FR,7,1,1,2,4,2,2,2,2,1,2,1,3
2020-06-13 17:55:33,11,Customer Service,FR,7,4,2,5,3,2,2,2,4,5,3,4,4
2020-06-17 06:53:50,2,Research and Development,FR,9,2,3,1,2,1,1,2,1,1,1,1,5
2020-06-02 13:31:31,6,Research and Development,FR,4,2,5,3,5,3,2,5,1,3,5,5,5
2020-06-09 05:59:15,9,Finance and Administration,FR,4,1,5,1,1,2,1,2,4,1,4,1,2
2020-06-26 11:56:38,1,Sales and Marketing,FR,5,4,4,4,2,3,2,1,4,5,1,1,5
2020-06-29 03:25:41,12,Customer Service,FR,10,5,3,4,4,2,5,2,5,1,2,1,2
2020-06-22 18:25:42,10,Customer Service,FR,8,2,4,2,5,3,4,4,4,1,4,1,2
2020-06-10 09:54:20,12,Research and Development,FR,10,4,1,4,4,5,3,5,1,3,5,5,5
2020-06-07 20:16:03,13,Research and Development,FR,5,3,1,3,4,1,3,5,1,2,5,3,4
2020-06-10 01:20:00,7,Research and Development,FR,10,4,1,2,4,2,3,3,5,1,1,4,1
2020-06-19 03:47:29,13,Finance and Administration,FR,8,2,3,1,2,4,5,1,2,4,4,3,1
2020-06-07 19:02:03,2,Research and Development,FR,7,1,1,3,2,3,1,3,5,1,2,4,1
2020-06-12 15:10:32,13,Sales and Marketing,FR,5,1,1,4,2,1,3,5,1,2,5,1,4
2020-06-29 14:25:19,13,Sales and Marketing,FR,9,1,4,5,3,5,1,4,4,4,3,1,4
2020-06-14 06:23:15,13,Sales and Marketing,FR,10,5,2,4,1,1,3,5,5,1,3,4,2
2020-06-19 13:40:38,11,Sales and Marketing,FR,6,2,1,2,2,2,2,1,3,2,5,4,2
2020-06-17 02:19:24,3,Sales and Marketing,FR,5,5,3,3,3,3,4,5,5,5,5,5,1
2020-06-28 23:57:23,13,Customer Service,FR,9,2,5,5,4,3,3,4,1,3,4,5,1
2020-06-26 23:39:45,6,Finance and Administration,FR,7,3,4,1,2,2,5,3,4,3,2,2,5
2020-06-23 16:27:34,8,Sales and Marketing,FR,9,1,4,3,1,2,1,3,3,5,5,2,3
2020-06-02 21:22:23,6,Production,FR,5,4,5,4,3,5,3,5,1,3,2,4,3
2020-06-27 06:50:27,13,Production,FR,7,5,2,4,4,2,4,3,1,4,1,4,4
2020-06-29 22:58:23,7,Sales and Marketing,FR,7,4,3,1,5,1,4,4,3,4,2,4,4
2020-06-12 09:04:18,12,Sales and Marketing,FR,5,2,4,2,5,3,5,3,2,1,3,5,2
2020-06-17 23:03:47,1,Finance and Administration,FR,8,2,2,3,3,5,4,4,2,1,1,4,2
2020-06-12 14:56:10,13,Research and Development,FR,7,4,4,2,4,1,1,4,4,1,2,5,1
2020-06-18 18:08:15,5,Research and Development,FR,7,5,4,2,4,4,1,3,5,4,2,4,1
2020-06-06 14:53:02,15,Human Resources,FR,9,3,4,5,1,2,1,5,4,1,5,1,3
2020-06-01 15:27:35,14,Research and Development,FR,7,4,2,1,5,4,3,5,4,4,1,4,1
2020-06-22 23:23:09,12,Production,FR,10,4,1,4,3,3,5,2,1,3,4,5,1
2020-06-25 00:21:51,13,Production,FR,4,1,2,2,1,3,5,5,2,2,5,2,2
2020-06-19 22:44:55,14,Research and Development,FR,7,3,3,2,2,1,2,4,4,1,3,2,4
2020-06-08 20:38:15,4,Sales and Marketing,FR,4,3,5,4,1,2,5,1,3,4,1,5,5
2020-06-19 10:33:52,15,Customer Service,FR,4,4,5,5,1,1,3,1,4,4,1,1,3
2020-06-26 15:40:51,6,Finance and Administration,FR,6,4,5,5,3,5,4,2,1,1,2,4,5
2020-06-16 14:08:24,9,Human Resources,FR,5,5,5,5,1,3,2,4,2,5,5,1,1
2020-06-13 04:09:42,7,Finance and Administration,FR,10,2,2,4,4,3,2,2,3,4,4,1,2
2020-06-05 16:35:49,15,Research and Development,FR,7,2,2,5,5,3,2,1,1,2,3,5,3
2020-06-17 13:08:58,3,Human Resources,FR,9,4,2,1,5,4,3,4,1,2,2,3,3
2020-06-07 22:10:17,1,Customer Service,FR,9,3,4,2,4,4,2,3,2,3,2,1,1
2020-06-22 23:05:49,11,Finance and Administration,FR,10,3,2,5,2,3,4,1,1,1,3,4,3
2020-06-11 03:42:18,11,Production,FR,8,4,3,2,2,5,3,4,3,3,5,2,5
2020-06-02 21:13:03,10,Customer Service,FR,9,5,1,5,2,1,4,4,5,2,5,5,3
2020-06-26 11:19:09,1,Human Resources,FR,8,3,3,4,1,5,5,5,3,2,4,4,2
2020-06-19 07:48:09,13,Sales and Marketing,FR,4,3,1,3,1,1,1,4,5,2,3,1,2
2020-06-02 18:58:00,4,Human Resources,FR,5,4,4,1,4,2,3,3,5,3,4,5,3
2020-06-18 03:08:55,15,Sales and Marketing,FR,8,3,5,1,4,3,5,3,5,4,1,3,5
2020-06-19 02:25:40,13,Human Resources,FR,5,1,1,1,2,5,1,3,5,4,2,1,2
2020-06-14 15:14:00,15,Production,FR,9,3,4,4,5,1,3,4,4,1,1,2,4
2020-06-07 02:10:43,4,Sales and Marketing,FR,5,2,1,5,5,5,3,4,2,3,1,2,2
2020-06-18 18:41:02,4,Production,FR,8,5,5,1,3,3,5,5,2,1,3,1,4
2020-06-09 13:02:35,3,Research and Development,FR,4,3,5,4,4,3,2,2,3,2,3,1,4
2020-06-22 15:57:00,11,Customer Service,FR,9,3,2,5,3,4,3,5,2,2,3,1,5
2020-06-22 10:32:38,2,Sales and Marketing,FR,5,2,5,1,5,1,5,4,3,4,4,3,3
2020-06-16 19:20:02,12,Production,FR,6,3,2,5,1,3,3,2,5,2,5,4,1
2020-06-11 10:45:30,7,Customer Service,FR,8,4,2,3,1,5,1,2,4,5,1,3,3
2020-06-07 03:49:59,7,Research and Development,FR,6,4,3,2,1,5,1,5,2,3,1,1,4
2020-06-29 07:17:46,12,Customer Service,FR,7,5,3,4,2,3,3,5,5,2,1,1,3
2020-06-20 13:38:16,12,Production,FR,5,1,4,5,4,5,4,5,1,2,3,4,5
2020-06-17 23:36:12,4,Production,FR,6,1,2,5,4,4,5,4,2,4,4,2,1
2020-06-18 15:26:49,15,Customer Service,FR,10,3,3,4,1,4,1,4,1,5,1,1,4
