Timestamp,Channel,Location,Score,Reason
2019-01-09 02:47:33,Website,GB,6,
2019-11-09 09:04:39,Mobile App,ES,6,It keeps crashing
2019-06-30 12:44:09,Mobile App,IT,6,
2019-12-27 09:30:01,Website,DE,7,
2020-06-02 10:26:16,Mobile App,DK,7,
2019-10-26 00:55:46,Mobile App,IT,10,It keeps crashing
2020-03-26 23:44:09,Mobile App,IE,10,
2019-05-06 04:26:30,Mobile App,GB,10,It keeps crashing
2020-02-12 08:19:31,Mobile App,IE,6,
2019-01-22 10:32:31,Website,DE,9,
2019-04-11 07:40:16,Mobile App,DE,8,It keeps crashing
2019-12-31 17:00:10,Mobile App,IT,6,It keeps crashing
2020-01-27 08:55:45,Mobile App,IT,8,It keeps crashing
2019-10-12 00:57:16,Website,ES,8,
2020-05-07 21:06:56,Mobile App,RU,10,It keeps crashing
2019-08-12 18:03:50,Mobile App,DE,8,
2020-03-05 13:57:02,Mobile App,RU,6,
2019-11-19 10:17:16,Website,DE,6,It keeps crashing
2019-05-27 11:34:12,Website,RU,8,
2019-06-17 19:08:20,Website,DK,6,It keeps crashing
2019-09-16 02:35:38,Website,US,7,It keeps crashing
2020-02-24 04:22:54,Mobile App,US,7,
2020-05-08 07:33:26,Website,IT,6,
2019-11-05 02:55:13,Mobile App,DK,6,
2020-05-24 09:31:46,Website,IT,8,
2019-08-27 21:08:54,Mobile App,IE,6,
2019-04-09 13:34:02,Website,DK,10,
2020-03-18 16:10:20,Mobile App,US,8,It keeps crashing
2019-02-13 04:05:38,Website,DE,7,It keeps crashing
2019-04-20 10:11:59,Website,DE,9,
2019-03-08 00:36:41,Website,DE,8,It keeps crashing
2019-12-25 13:59:00,Mobile App,DK,8,It keeps crashing
2019-08-03 07:02:17,Website,RU,8,It keeps crashing
2020-04-27 03:05:14,Mobile App,GB,9,
2020-05-20 17:16:44,Mobile App,DK,8,
2020-02-09 22:53:23,Mobile App,MX,9,It keeps crashing
2020-06-08 11:33:37,Website,RU,7,It keeps crashing
2019-11-22 16:50:09,Website,DE,6,It keeps crashing
2019-06-22 11:38:25,Website,DE,6,It keeps crashing
2019-09-15 21:10:30,Mobile App,IE,10,It keeps crashing
2019-12-26 14:17:04,Mobile App,IT,8,It keeps crashing
2020-02-29 19:02:03,Website,RU,6,
2019-11-21 02:19:09,Mobile App,IE,6,It keeps crashing
2020-04-15 10:15:17,Mobile App,RU,9,It keeps crashing
2020-04-17 12:35:38,Website,IT,10,It keeps crashing
2020-05-30 05:05:37,Mobile App,MX,7,It keeps crashing
2019-08-29 04:39:49,Mobile App,IT,6,It keeps crashing
2019-10-23 07:36:05,Website,DE,8,
2019-11-18 08:29:30,Website,RU,6,
2020-06-09 21:37:06,Website,IE,7,
2019-11-10 15:53:57,Mobile App,IE,10,It keeps crashing
2019-05-27 22:34:52,Mobile App,US,6,It keeps crashing
2019-04-12 11:50:37,Website,US,7,
2020-01-25 02:05:33,Website,GB,7,
2019-06-03 20:01:08,Website,IT,7,
2019-08-02 05:04:14,Website,DE,9,
2020-06-08 04:57:38,Website,GB,6,
2019-08-23 19:45:35,Mobile App,DK,7,
2020-05-22 08:17:02,Mobile App,US,7,
2019-05-16 16:16:49,Mobile App,US,8,It keeps crashing
2020-01-30 19:37:14,Mobile App,US,8,It keeps crashing
2019-07-05 17:37:42,Mobile App,US,6,It keeps crashing
2020-03-26 20:54:44,Mobile App,RU,10,
2019-10-30 09:56:47,Website,MX,8,It keeps crashing
2020-02-22 00:35:58,Website,GB,6,
2019-11-14 13:17:14,Mobile App,DK,6,
